id,name_zh,name_en,era,region,type,wiki_title_zh,wiki_title_en
P001,孔子,Confucius,春秋 · 思想家,中国,思想 / 教育,孔子,Confucius
P002,老子,Laozi,春秋 · 思想家,中国,哲学 / 观察,老子,Laozi
P003,孙子,Sun Tzu,春秋 · 军事家,中国,战略 / 军事,孙子,Sun Tzu (disambiguation)
P004,管仲,Guan Zhong,春秋 · 政治家,中国,治理 / 经济,管仲,Guan Zhong
P005,商鞅,Shang Yang,战国 · 改革家,中国,制度 / 改革,商鞅,Shang Yang
P006,孟子,Mencius,战国 · 思想家,中国,伦理 / 思想,孟子,Mencius
P007,庄子,Zhuang Zhou,战国 · 思想家,中国,哲学 / 自由,庄子,Zhuang Zhou
P008,屈原,Qu Yuan,战国 · 诗人,中国,理想 / 文学,屈原,Qu Yuan
P009,秦始皇,Qin Shi Huang,秦 · 皇帝,中国,统治 / 制度,秦始皇,Qin Shi Huang
P010,汉武帝,Emperor Wu of Han,西汉 · 皇帝,中国,统治 / 扩张,汉武帝,Emperor Wu of Han
P011,司马迁,Sima Qian,西汉 · 史学家,中国,观察 / 记录,司馬遷,Sima Qian
P012,刘邦,Emperor Gaozu of Han,西汉 · 开国皇帝,中国,组织 / 人心,刘邦,Emperor Gaozu of Han
P013,韩信,Han Xin,西汉 · 军事家,中国,军事 / 破局,韩信,Han Xin
P014,张良,Zhang Liang,西汉 · 谋臣,中国,谋略 / 节奏,张良,Zhang Liang (Western Han)
P015,萧何,Xiao He,西汉 · 丞相,中国,组织 / 后勤,萧何,Xiao He
P016,曹操,Cao Cao,东汉末 · 政治家,中国,政治 / 军事,曹操,Cao Cao
P017,刘备,Liu Bei,蜀汉 · 皇帝,中国,关系 / 韧性,刘备,Liu Bei
P018,诸葛亮,Zhuge Liang,蜀汉 · 丞相,中国,治理 / 谋略,诸葛亮,Zhuge Liang
P019,司马懿,Sima Yi,三国 · 政治家,中国,谋略 / 韧性,司马懿,Sima Yi
P020,周瑜,Zhou Yu,东汉末 · 将领,中国,军事 / 创造,周瑜,Zhou Yu
P021,陶渊明,Tao Yuanming,东晋 · 诗人,中国,审美 / 内省,陶渊明,Tao Yuanming
P022,王羲之,Wang Xizhi,东晋 · 书法家,中国,艺术 / 表达,王羲之,Wang Xizhi
P023,李世民,Emperor Taizong of Tang,唐 · 皇帝,中国,统治 / 决策,唐太宗,Emperor Taizong of Tang
P024,武则天,Wu Zetian,唐 · 政治家,中国,权力 / 机会,武则天,Wu Zetian
P025,李白,Li Bai,唐 · 诗人,中国,文学 / 想象,李白,Li Bai
P026,杜甫,Du Fu,唐 · 诗人,中国,现实 / 悲悯,杜甫,Du Fu
P027,王维,Wang Wei,唐 · 诗人画家,中国,审美 / 内省,王维,Wang Wei
P028,韩愈,Han Yu,唐 · 文学家,中国,思想 / 改革,韩愈,Han Yu
P029,白居易,Bai Juyi,唐 · 诗人,中国,文学 / 共情,白居易,Bai Juyi
P030,范仲淹,Fan Zhongyan,北宋 · 政治家,中国,责任 / 治理,范仲淹,Fan Zhongyan
P031,王安石,Wang Anshi,北宋 · 改革家,中国,改革 / 制度,王安石,Wang Anshi
P032,司马光,Sima Guang,北宋 · 史学家,中国,秩序 / 判断,司马光,Sima Guang
P033,苏轼,Su Shi,北宋 · 文学家,中国,文学 / 适应,苏轼,Su Shi
P034,岳飞,Yue Fei,南宋 · 将领,中国,军事 / 原则,岳飞,Yue Fei
P035,朱熹,Zhu Xi,南宋 · 思想家,中国,体系 / 教育,朱熹,Zhu Xi
P036,忽必烈,Kublai Khan,元 · 皇帝,中国,统治 / 整合,忽必烈,Kublai Khan
P037,朱元璋,Hongwu Emperor,明 · 开国皇帝,中国,生存 / 控制,朱元璋,Hongwu Emperor
P038,朱棣,Yongle Emperor,明 · 皇帝,中国,扩张 / 统治,明成祖,Yongle Emperor
P039,郑和,Zheng He,明 · 航海家,中国,探索 / 外交,鄭和,Zheng He
P040,王阳明,Wang Yangming,明 · 思想家,中国,思想 / 行动,王陽明,Wang Yangming
P041,张居正,Zhang Juzheng,明 · 改革家,中国,改革 / 执行,張居正,Zhang Juzheng
P042,戚继光,Qi Jiguang,明 · 将领,中国,军事 / 训练,戚继光,Qi Jiguang
P043,李时珍,Li Shizhen,明 · 医药学家,中国,科学 / 观察,李时珍,Li Shizhen
P044,徐霞客,Xu Xiake,明 · 地理学家,中国,探索 / 观察,徐霞客,Xu Xiake
P045,康熙,Kangxi Emperor,清 · 皇帝,中国,治理 / 学习,康熙帝,Kangxi Emperor
P046,雍正,Yongzheng Emperor,清 · 皇帝,中国,执行 / 治理,雍正帝,Yongzheng Emperor
P047,乾隆,Qianlong Emperor,清 · 皇帝,中国,统治 / 表达,乾隆帝,Qianlong Emperor
P048,林则徐,Lin Tse-hsu,清 · 政治家,中国,原则 / 执行,林则徐,Lin Zexu
